city,variable,lead_days,model,mae,rmse,bias,n
Amritsar,rainfall,1,gem,0.6883,2.5607,-0.3077,1008
Amritsar,rainfall,1,gfs,0.4456,2.0572,0.0563,1008
Amritsar,rainfall,1,icon,0.4779,1.3495,-0.0398,1008
Amritsar,rainfall,2,ecmwf,0.4346,1.1773,-0.084,1008
Amritsar,rainfall,2,gem,0.5675,1.7437,-0.169,1008
Amritsar,rainfall,2,gfs,0.4678,1.6666,0.0412,1008
Amritsar,rainfall,2,icon,0.4393,1.3492,0.0185,1008
Amritsar,rainfall,3,ecmwf,0.4575,1.2677,-0.0772,1008
Amritsar,rainfall,3,gem,0.7845,3.0248,-0.3643,1008
Amritsar,rainfall,3,gfs,0.4778,1.7562,0.0063,1008
Amritsar,rainfall,3,icon,0.4181,1.2126,0.0399,1008
Amritsar,temperature,1,ecmwf,1.0069,1.2975,0.6411,1008
Amritsar,temperature,1,gem,1.8617,2.3216,1.1431,1008
Amritsar,temperature,1,gfs,2.4102,3.118,-1.789,1008
Amritsar,temperature,1,icon,1.0111,1.3259,-0.277,1008
Amritsar,temperature,2,ecmwf,1.1161,1.3842,0.7587,1008
Amritsar,temperature,2,gem,1.8452,2.2956,1.1685,1008
Amritsar,temperature,2,gfs,2.3801,3.192,-1.6307,1008
Amritsar,temperature,2,icon,1.0183,1.3812,-0.0851,1008
Amritsar,temperature,3,ecmwf,1.2093,1.492,0.8173,1008
Amritsar,temperature,3,gem,2.0812,2.5374,1.3504,1008
Amritsar,temperature,3,gfs,2.2609,3.0684,-1.5111,1008
Amritsar,temperature,3,icon,1.0766,1.435,-0.1429,1008
Amritsar,wind_speed,1,ecmwf,2.3849,3.0397,0.3599,1008
Amritsar,wind_speed,1,gem,4.0502,5.0559,-2.3714,1008
Amritsar,wind_speed,1,gfs,5.4815,6.6243,-4.8236,1008
Amritsar,wind_speed,1,icon,2.4786,3.163,0.9752,1008
Amritsar,wind_speed,2,ecmwf,2.4632,3.1913,0.0118,1008
Amritsar,wind_speed,2,gem,4.0294,5.1784,-2.3641,1008
Amritsar,wind_speed,2,gfs,5.6761,6.9643,-5.0898,1008
Amritsar,wind_speed,2,icon,2.6737,3.349,0.5374,1008
Amritsar,wind_speed,3,ecmwf,2.6358,3.3568,0.3074,1008
Amritsar,wind_speed,3,gem,4.2083,5.2543,-2.3339,1008
Amritsar,wind_speed,3,gfs,6.074,7.4375,-5.5641,1008
Amritsar,wind_speed,3,icon,2.6799,3.3939,0.4118,1008
Bengaluru,rainfall,1,ecmwf,0.2007,0.6058,0.0652,1008
Bengaluru,rainfall,1,gem,0.2493,0.7201,0.1529,1008
Bengaluru,rainfall,1,gfs,0.228,0.6941,0.2048,1008
Bengaluru,rainfall,1,icon,0.2153,0.6529,0.18,1008
Bengaluru,rainfall,2,ecmwf,0.1983,0.6083,0.1057,1008
Bengaluru,rainfall,2,gem,0.264,0.7608,0.1493,1008
Bengaluru,rainfall,2,gfs,0.2248,0.6991,0.2141,1008
Bengaluru,rainfall,2,icon,0.2238,0.6718,0.1683,1008
Bengaluru,rainfall,3,ecmwf,0.2137,0.6262,0.0863,1008
Bengaluru,rainfall,3,gem,0.2726,0.7708,0.1361,1008
Bengaluru,rainfall,3,gfs,0.2223,0.6891,0.2106,1008
Bengaluru,rainfall,3,icon,0.2239,0.649,0.1678,1008
Bengaluru,temperature,1,ecmwf,0.748,1.0596,0.155,1008
Bengaluru,temperature,1,gem,1.1826,1.553,0.2566,1008
Bengaluru,temperature,1,gfs,1.1349,1.6188,-0.7141,1008
Bengaluru,temperature,1,icon,0.8697,1.2361,-0.1737,1008
Bengaluru,temperature,2,ecmwf,0.7734,1.1267,0.0272,1008
Bengaluru,temperature,2,gem,1.2632,1.6839,0.1582,1008
Bengaluru,temperature,2,gfs,1.2736,1.7676,-0.8962,1008
Bengaluru,temperature,2,icon,0.8972,1.2855,-0.174,1008
Bengaluru,temperature,3,ecmwf,0.8452,1.1978,0.0254,1008
Bengaluru,temperature,3,gem,1.3,1.7838,0.0069,1008
Bengaluru,temperature,3,gfs,1.3425,1.8519,-0.9708,1008
Bengaluru,temperature,3,icon,0.9273,1.3052,-0.2057,1008
Bengaluru,wind_speed,1,ecmwf,2.4669,3.1199,-1.9069,1008
Bengaluru,wind_speed,1,gem,4.8098,5.9067,-4.3301,1008
Bengaluru,wind_speed,1,gfs,7.5125,8.0414,-7.5028,1008
Bengaluru,wind_speed,1,icon,2.0796,2.5506,1.2891,1008
Bengaluru,wind_speed,2,ecmwf,2.7242,3.4688,-2.245,1008
Bengaluru,wind_speed,2,gem,4.9689,6.096,-4.582,1008
Bengaluru,wind_speed,2,gfs,7.5348,8.1119,-7.4926,1008
Bengaluru,wind_speed,2,icon,2.1794,2.6406,1.3065,1008
Bengaluru,wind_speed,3,ecmwf,2.9755,3.7346,-2.4894,1008
Bengaluru,wind_speed,3,gem,4.8967,5.9821,-4.4352,1008
Bengaluru,wind_speed,3,gfs,7.3312,7.9636,-7.2874,1008
Bengaluru,wind_speed,3,icon,2.1826,2.6611,1.2509,1008
Bhopal,rainfall,1,ecmwf,0.5457,1.1176,-0.1301,1008
Bhopal,rainfall,1,gem,0.6402,1.6584,0.0539,1008
Bhopal,rainfall,1,gfs,0.778,1.8684,-0.154,1008
Bhopal,rainfall,1,icon,0.6182,1.4284,-0.0229,1008
Bhopal,rainfall,2,ecmwf,0.6765,1.2986,-0.1634,1008
Bhopal,rainfall,2,gem,0.8259,2.0565,-0.0949,1008
Bhopal,rainfall,2,gfs,0.643,1.5559,0.0743,1008
Bhopal,rainfall,2,icon,0.6481,1.4233,0.0257,1008
Bhopal,rainfall,3,ecmwf,0.8688,1.9495,-0.2247,1008
Bhopal,rainfall,3,gem,0.7514,1.8509,-0.0587,1008
Bhopal,rainfall,3,gfs,0.5018,1.2726,0.2123,1008
Bhopal,rainfall,3,icon,0.9397,2.0255,-0.2183,1008
Bhopal,temperature,1,ecmwf,0.7251,1.0123,0.2904,1008
Bhopal,temperature,1,gem,1.0474,1.381,0.8008,1008
Bhopal,temperature,1,gfs,1.3546,1.7564,1.0446,1008
Bhopal,temperature,1,icon,0.8687,1.2143,0.5512,1008
Bhopal,temperature,2,ecmwf,0.7746,1.0609,0.4187,1008
Bhopal,temperature,2,gem,1.1111,1.4187,0.9079,1008
Bhopal,temperature,2,gfs,1.737,2.154,1.559,1008
Bhopal,temperature,2,icon,1.1054,1.553,0.9034,1008
Bhopal,temperature,3,ecmwf,0.8525,1.1646,0.4189,1008
Bhopal,temperature,3,gem,1.2469,1.5935,1.0263,1008
Bhopal,temperature,3,gfs,1.7497,2.1704,1.5705,1008
Bhopal,temperature,3,icon,1.3375,1.8651,1.0552,1008
Bhopal,wind_speed,1,ecmwf,2.1627,2.8748,0.2026,1008
Bhopal,wind_speed,1,gem,3.9534,4.786,-2.7694,1008
Bhopal,wind_speed,1,gfs,5.5675,6.5806,-5.1829,1008
Bhopal,wind_speed,1,icon,2.4315,3.0237,1.4448,1008
Bhopal,wind_speed,2,ecmwf,2.2,2.846,-0.4651,1008
Bhopal,wind_speed,2,gem,4.2741,5.2049,-2.5543,1008
Bhopal,wind_speed,2,gfs,5.58,6.592,-4.9905,1008
Bhopal,wind_speed,2,icon,2.3716,3.0174,0.9933,1008
Bhopal,wind_speed,3,ecmwf,2.5743,3.3716,-1.0634,1008
Bhopal,wind_speed,3,gem,4.2875,5.2476,-2.4605,1008
Bhopal,wind_speed,3,gfs,5.2917,6.3718,-4.6839,1008
Bhopal,wind_speed,3,icon,2.6048,3.3522,0.878,1008
Bhubaneswar,rainfall,1,ecmwf,1.027,2.2635,0.3813,1008
Bhubaneswar,rainfall,1,gem,1.5004,3.2069,0.3304,1008
Bhubaneswar,rainfall,1,gfs,1.1685,2.664,0.569,1008
Bhubaneswar,rainfall,1,icon,1.1434,2.2373,0.4307,1008
Bhubaneswar,rainfall,2,ecmwf,1.0529,2.0035,0.4578,1008
Bhubaneswar,rainfall,2,gem,1.2643,2.6815,0.6492,1008
Bhubaneswar,rainfall,2,gfs,1.1475,2.443,0.7138,1008
Bhubaneswar,rainfall,2,icon,1.1785,2.586,0.558,1008
Bhubaneswar,rainfall,3,ecmwf,1.086,2.3534,0.6412,1008
Bhubaneswar,rainfall,3,gem,1.429,3.2333,0.5349,1008
Bhubaneswar,rainfall,3,gfs,1.1233,2.4728,0.8658,1008
Bhubaneswar,rainfall,3,icon,1.1287,2.402,0.7503,1008
Bhubaneswar,temperature,1,ecmwf,0.8544,1.1091,0.3895,1008
Bhubaneswar,temperature,1,gem,1.5813,1.9376,1.0681,1008
Bhubaneswar,temperature,1,gfs,1.244,1.6898,-0.7204,1008
Bhubaneswar,temperature,1,icon,0.8991,1.1894,-0.2547,1008
Bhubaneswar,temperature,2,ecmwf,1.0187,1.3766,0.2345,1008
Bhubaneswar,temperature,2,gem,1.5622,1.8857,1.0592,1008
Bhubaneswar,temperature,2,gfs,1.1991,1.642,-0.4646,1008
Bhubaneswar,temperature,2,icon,0.9936,1.3095,-0.1406,1008
Bhubaneswar,temperature,3,ecmwf,1.0087,1.3272,-0.0056,1008
Bhubaneswar,temperature,3,gem,1.5483,1.9277,1.0892,1008
Bhubaneswar,temperature,3,gfs,1.3605,1.8337,-0.5857,1008
Bhubaneswar,temperature,3,icon,1.041,1.389,-0.2757,1008
Bhubaneswar,wind_speed,1,ecmwf,2.7314,3.513,0.5334,1008
Bhubaneswar,wind_speed,1,gem,3.8541,4.8838,-0.9199,1008
Bhubaneswar,wind_speed,1,gfs,3.8832,4.8409,-1.5485,1008
Bhubaneswar,wind_speed,1,icon,4.8251,5.7277,4.4312,1008
Bhubaneswar,wind_speed,2,ecmwf,3.2295,4.1071,1.0122,1008
Bhubaneswar,wind_speed,2,gem,4.4588,5.7298,-0.9434,1008
Bhubaneswar,wind_speed,2,gfs,4.4113,5.5489,-2.2452,1008
Bhubaneswar,wind_speed,2,icon,4.9572,5.9482,4.5239,1008
Bhubaneswar,wind_speed,3,ecmwf,3.8016,4.9387,1.5046,1008
Bhubaneswar,wind_speed,3,gem,4.2294,5.4345,-0.9016,1008
Bhubaneswar,wind_speed,3,gfs,4.3587,5.478,-1.6907,1008
Bhubaneswar,wind_speed,3,icon,5.0776,6.1893,4.4669,1008
Chandigarh,rainfall,1,ecmwf,0.3315,0.8092,-0.0907,1008
Chandigarh,rainfall,1,gem,0.6344,2.2039,-0.3531,1008
Chandigarh,rainfall,1,gfs,0.3418,0.8642,-0.0392,1008
Chandigarh,rainfall,1,icon,0.3804,1.2335,-0.0877,1008
Chandigarh,rainfall,2,ecmwf,0.3841,0.9366,-0.1431,1008
Chandigarh,rainfall,2,gem,0.4171,1.1792,-0.1046,1008
Chandigarh,rainfall,2,gfs,0.4014,0.9221,-0.1095,1008
Chandigarh,rainfall,2,icon,0.3974,1.011,-0.1002,1008
Chandigarh,rainfall,3,ecmwf,0.4604,1.1028,-0.2243,1008
Chandigarh,rainfall,3,gem,0.4708,1.4096,-0.1496,1008
Chandigarh,rainfall,3,gfs,0.5079,1.2599,-0.2169,1008
Chandigarh,rainfall,3,icon,0.3626,0.8814,-0.0562,1008
Chandigarh,temperature,1,ecmwf,0.971,1.2854,0.4704,1008
Chandigarh,temperature,1,gem,1.7705,2.2506,1.2009,1008
Chandigarh,temperature,1,gfs,1.8044,2.309,-1.2835,1008
Chandigarh,temperature,1,icon,1.3757,1.7099,-0.9229,1008
Chandigarh,temperature,2,ecmwf,1.0524,1.3575,0.6419,1008
Chandigarh,temperature,2,gem,1.8529,2.3318,1.1453,1008
Chandigarh,temperature,2,gfs,1.7883,2.4101,-0.9946,1008
Chandigarh,temperature,2,icon,1.1392,1.4653,-0.4874,1008
Chandigarh,temperature,3,ecmwf,1.1266,1.4782,0.7002,1008
Chandigarh,temperature,3,gem,2.1013,2.5683,1.491,1008
Chandigarh,temperature,3,gfs,1.6516,2.2173,-0.5099,1008
Chandigarh,temperature,3,icon,1.2003,1.5696,-0.5364,1008
Chandigarh,wind_speed,1,ecmwf,2.9091,3.6805,-0.0101,1008
Chandigarh,wind_speed,1,gem,3.8931,4.9498,-1.5554,1008
Chandigarh,wind_speed,1,gfs,4.6829,5.9392,-3.3395,1008
Chandigarh,wind_speed,1,icon,3.3129,4.1316,1.8085,1008
Chandigarh,wind_speed,2,ecmwf,3.1878,4.0747,-0.2973,1008
Chandigarh,wind_speed,2,gem,4.1067,5.2629,-1.8667,1008
Chandigarh,wind_speed,2,gfs,5.3721,7.0196,-3.866,1008
Chandigarh,wind_speed,2,icon,3.368,4.2702,1.683,1008
Chandigarh,wind_speed,3,ecmwf,3.3974,4.3147,-0.144,1008
Chandigarh,wind_speed,3,gem,4.5045,5.7391,-2.0412,1008
Chandigarh,wind_speed,3,gfs,5.74,7.4952,-4.0707,1008
Chandigarh,wind_speed,3,icon,3.4178,4.3782,1.7509,1008
Chennai,rainfall,1,ecmwf,0.2697,0.6926,-0.0566,1008
Chennai,rainfall,1,gem,0.2078,0.6136,0.0612,1008
Chennai,rainfall,1,gfs,0.1698,0.6094,0.154,1008
Chennai,rainfall,1,icon,0.1703,0.5985,0.1324,1008
Chennai,rainfall,2,ecmwf,0.2448,0.7235,0.0002,1008
Chennai,rainfall,2,gem,0.1956,0.6107,0.0833,1008
