city,variable,model,weight
Srinagar,temperature,gfs,0.160488
Srinagar,temperature,icon,0.297015
Srinagar,wind_speed,ecmwf,0.345344
Srinagar,wind_speed,gem,0.233963
Srinagar,wind_speed,gfs,0.178173
Srinagar,wind_speed,icon,0.24252
Surat,rainfall,ecmwf,0.426435
Surat,rainfall,gem,0.203594
Surat,rainfall,gfs,0.120299
Surat,rainfall,icon,0.249672
Surat,temperature,ecmwf,0.418743
Surat,temperature,gem,0.172269
Surat,temperature,gfs,0.182577
Surat,temperature,icon,0.226411
Surat,wind_speed,ecmwf,0.467247
Surat,wind_speed,gem,0.111532
Surat,wind_speed,gfs,0.10452
Surat,wind_speed,icon,0.316701
Thane,rainfall,ecmwf,0.443034
Thane,rainfall,gem,0.166805
Thane,rainfall,gfs,0.181149
Thane,rainfall,icon,0.209011
Thane,temperature,ecmwf,0.510896
Thane,temperature,gem,0.207388
Thane,temperature,gfs,0.115021
Thane,temperature,icon,0.166695
Thane,wind_speed,ecmwf,0.502525
Thane,wind_speed,gem,0.182627
Thane,wind_speed,gfs,0.084093
Thane,wind_speed,icon,0.230756
Thiruvananthapuram,rainfall,ecmwf,0.35389
Thiruvananthapuram,rainfall,gem,0.169275
Thiruvananthapuram,rainfall,gfs,0.25995
Thiruvananthapuram,rainfall,icon,0.216886
Thiruvananthapuram,temperature,ecmwf,0.344346
Thiruvananthapuram,temperature,gem,0.193657
Thiruvananthapuram,temperature,gfs,0.188542
Thiruvananthapuram,temperature,icon,0.273455
Thiruvananthapuram,wind_speed,ecmwf,0.39325
Thiruvananthapuram,wind_speed,gem,0.185045
Thiruvananthapuram,wind_speed,gfs,0.226962
Thiruvananthapuram,wind_speed,icon,0.194743
Vadodara,rainfall,ecmwf,0.464932
Vadodara,rainfall,gem,0.210194
Vadodara,rainfall,gfs,0.202906
Vadodara,rainfall,icon,0.121968
Vadodara,temperature,ecmwf,0.470794
Vadodara,temperature,gem,0.167209
Vadodara,temperature,gfs,0.102249
Vadodara,temperature,icon,0.259748
Vadodara,wind_speed,ecmwf,0.456137
Vadodara,wind_speed,gem,0.151153
Vadodara,wind_speed,gfs,0.10348
Vadodara,wind_speed,icon,0.28923
Varanasi,rainfall,ecmwf,0.37716
Varanasi,rainfall,gem,0.196881
Varanasi,rainfall,gfs,0.221589
Varanasi,rainfall,icon,0.20437
Varanasi,temperature,ecmwf,0.461661
Varanasi,temperature,gem,0.149366
Varanasi,temperature,gfs,0.122697
Varanasi,temperature,icon,0.266276
Varanasi,wind_speed,ecmwf,0.426049
Varanasi,wind_speed,gem,0.149785
Varanasi,wind_speed,gfs,0.137015
Varanasi,wind_speed,icon,0.287151
Vijayawada,rainfall,ecmwf,0.345979
Vijayawada,rainfall,gem,0.218042
Vijayawada,rainfall,gfs,0.209224
Vijayawada,rainfall,icon,0.226755
Vijayawada,temperature,ecmwf,0.430551
Vijayawada,temperature,gem,0.14766
Vijayawada,temperature,gfs,0.198363
Vijayawada,temperature,icon,0.223426
Vijayawada,wind_speed,ecmwf,0.472341
Vijayawada,wind_speed,gem,0.193919
Vijayawada,wind_speed,gfs,0.185862
Vijayawada,wind_speed,icon,0.147878
Visakhapatnam,rainfall,ecmwf,0.317645
Visakhapatnam,rainfall,gem,0.226133
Visakhapatnam,rainfall,gfs,0.226984
Visakhapatnam,rainfall,icon,0.229237
Visakhapatnam,temperature,ecmwf,0.456689
Visakhapatnam,temperature,gem,0.191918
Visakhapatnam,temperature,gfs,0.150689
Visakhapatnam,temperature,icon,0.200704
Visakhapatnam,wind_speed,ecmwf,0.441254
Visakhapatnam,wind_speed,gem,0.137475
Visakhapatnam,wind_speed,gfs,0.143312
Visakhapatnam,wind_speed,icon,0.277959
